cpu_usage,memory_usage,latency,error_rate,outage
38.48,54.09,72.25,1.97,0
40.12,41.38,75.03,2.49,0
9.02,30.2,133.54,2.62,0
51.24,9.07,183.98,-0.14,0
39.81,54.01,128.77,2.98,0
38.63,68.66,107.06,2.93,0
50.0,61.31,91.84,2.26,0
24.23,49.59,146.44,2.13,0
52.86,33.14,92.54,3.18,0
36.97,82.03,73.68,0.54,0
43.88,55.31,122.13,0.49,0
51.12,32.52,70.58,2.6,0
36.34,24.41,100.54,2.34,0
60.61,67.56,91.51,-0.55,0
40.05,39.71,83.74,1.54,0
37.75,48.95,63.24,3.26,0
39.09,57.88,91.42,2.04,0
32.83,55.54,101.16,3.24,0
22.18,14.91,121.67,2.1,0
39.32,57.72,152.46,1.5,0
38.64,80.78,115.55,0.97,0
72.15,63.61,107.8,1.24,0
41.48,51.22,133.57,2.54,0
47.98,50.88,133.06,0.52,0
41.64,60.91,33.8,1.4,0
70.09,17.46,170.37,2.18,0
55.26,62.04,70.62,1.94,0
34.64,35.97,69.93,3.14,0
30.72,52.7,139.69,1.33,0
34.52,27.48,107.12,2.24,0
39.1,54.11,135.48,-0.67,0
37.0,39.29,175.86,2.78,0
33.84,61.46,145.64,2.11,0
87.01,86.23,1452.7,25.3,1
28.95,58.89,101.3,1.01,0
15.69,62.27,93.86,2.12,0
105.23,84.82,1369.34,42.51,1
37.09,45.43,128.9,0.99,0
37.23,56.72,64.17,1.82,0
40.11,60.86,137.51,2.91,0
16.9,50.05,164.32,1.02,0
44.13,43.32,137.77,3.49,0
97.0,92.02,1080.84,17.18,1
92.55,69.81,1622.21,44.73,1
29.52,54.86,71.18,2.05,0
41.64,52.74,180.7,2.18,0
52.58,85.66,171.02,2.2,0
31.1,54.61,130.68,1.54,0
49.41,36.44,58.3,2.07,0
67.62,32.33,125.06,2.69,0
44.55,33.3,136.55,3.73,0
64.35,46.39,138.88,3.29,0
66.21,15.64,146.88,1.52,0
31.62,44.95,160.85,0.36,0
24.78,48.19,70.27,2.02,0
33.53,64.81,130.32,2.58,0
43.08,77.98,127.08,2.86,0
34.25,68.66,125.01,1.31,0
33.03,63.84,89.22,1.15,0
45.33,38.81,82.36,1.28,0
53.0,35.92,110.05,1.33,0
55.32,52.37,90.0,-0.06,0
12.04,71.44,68.27,1.03,0
49.56,63.13,75.41,1.05,0
62.73,66.09,100.01,2.36,0
19.28,42.5,81.51,2.13,0
31.14,61.8,116.66,-0.08,0
30.25,62.35,51.19,1.69,0
39.36,47.09,115.13,2.14,0
51.93,67.24,171.15,1.24,0
30.07,57.26,89.08,1.84,0
15.93,98.32,96.29,2.47,1
56.97,35.72,137.71,2.03,0
43.21,49.0,67.35,2.78,0
39.97,33.06,123.11,1.8,0
28.08,21.83,138.38,2.9,0
41.97,49.98,166.22,2.45,0
62.31,36.05,117.91,3.05,0
10.67,68.89,68.88,1.3,0
43.62,52.07,171.12,1.51,0
105.04,101.72,1936.48,33.53,1
31.6,27.78,106.76,2.6,0
37.76,58.28,193.9,1.78,0
35.18,37.45,65.9,1.29,0
18.09,57.57,69.21,1.37,0
55.95,48.89,99.39,2.41,0
78.6,94.24,102.5,1.29,1
50.01,79.31,117.1,2.52,0
53.65,57.66,113.75,-0.01,0
56.06,63.65,19.7,2.21,0
49.42,61.08,182.01,2.2,0
45.1,54.76,129.87,2.29,0
42.57,62.59,131.28,2.11,0
55.82,35.07,105.27,2.42,0
41.28,104.18,93.41,2.26,1
47.41,62.89,105.41,3.36,0
46.15,72.4,159.2,2.48,0
37.19,14.76,170.59,-0.39,0
51.94,42.76,148.75,1.5,0
92.66,88.69,992.44,37.03,1
40.69,24.08,114.09,0.75,0
30.61,50.41,91.55,-0.11,0
21.64,53.61,111.36,3.25,0
36.45,47.14,91.4,3.31,0
59.26,50.06,162.4,2.19,0
42.57,48.7,102.82,1.72,0
35.84,38.64,152.76,2.41,0
44.57,23.49,51.67,2.96,0
103.38,139.11,1738.16,43.76,1
43.56,20.25,39.03,3.18,0
37.75,54.09,139.67,2.27,0
49.97,59.5,170.85,2.56,0
64.71,95.19,1507.32,11.9,1
19.07,48.37,155.12,0.57,0
31.89,24.76,59.72,1.92,0
79.69,115.52,1497.91,44.44,1
74.55,59.66,67.7,1.89,0
28.55,41.27,79.05,1.37,0
46.43,36.15,129.41,1.74,0
11.79,34.6,190.41,2.96,0
57.4,65.07,103.91,2.16,0
26.39,16.68,103.43,2.0,0
35.42,74.06,140.9,2.66,0
25.89,34.75,149.81,0.65,0
-15.15,77.86,127.37,3.8,0
67.27,61.91,136.21,2.3,0
24.4,49.25,57.22,3.68,0
50.33,6.32,101.54,1.63,0
78.48,87.88,841.77,16.02,0
55.62,43.28,121.75,1.24,0
55.95,57.54,155.6,1.12,0
37.34,48.48,109.26,2.09,0
49.71,54.64,95.83,-1.0,0
17.24,46.57,85.33,0.86,0
79.51,99.11,1899.46,27.33,1
41.2,37.55,44.42,2.09,0
108.37,123.62,1343.01,30.12,1
42.03,69.19,164.32,1.73,0
80.96,38.37,104.45,2.92,0
48.75,40.81,211.3,2.59,0
71.01,58.31,108.17,3.57,0
60.09,24.19,168.05,2.2,0
52.21,64.83,68.51,1.2,0
45.27,32.74,144.47,2.7,0
55.63,47.2,75.9,1.88,0
39.7,52.59,112.67,1.68,0
52.71,55.34,147.24,4.78,0
50.65,41.92,172.79,3.61,0
95.97,74.49,1365.88,15.74,1
76.21,82.6,191.68,1.9,0
56.47,61.58,142.3,3.76,0
42.61,71.75,139.73,3.29,0
56.08,57.07,109.07,1.65,0
37.31,50.84,41.18,1.96,0
56.62,35.73,150.69,-0.73,0
47.62,53.48,128.41,2.58,0
38.71,67.59,103.49,2.52,0
26.12,40.44,94.73,1.94,0
64.5,35.99,87.03,3.33,0
51.3,39.56,161.47,2.37,0
37.06,43.28,172.5,0.37,0
60.27,61.7,99.69,0.7,0
55.02,72.97,124.29,2.05,0
12.67,48.83,181.08,2.84,0
54.63,67.52,24.36,1.03,0
39.95,87.44,128.21,2.53,0
53.13,26.45,70.38,1.21,0
50.44,74.12,55.68,1.5,0
46.16,47.19,95.26,2.2,0
39.61,52.06,145.34,2.3,0
56.56,54.92,151.84,2.5,0
40.72,51.03,172.09,1.67,0
56.53,55.14,90.2,1.22,0
53.79,32.88,158.69,1.27,0
20.43,33.93,130.81,1.54,0
64.43,27.97,161.22,0.81,0
39.69,34.25,107.27,2.09,0
25.96,58.37,138.68,2.56,0
28.45,40.8,106.12,0.46,0
96.53,116.44,1638.23,17.3,1
61.28,53.38,177.31,1.37,0
131.19,70.93,1586.82,26.47,1
39.57,47.0,172.91,1.97,0
40.21,-1.14,94.24,2.82,0
23.74,53.53,91.18,3.25,0
13.55,54.12,60.91,0.22,0
71.88,-17.93,64.65,4.42,0
19.62,70.23,122.14,1.5,0
22.18,44.86,164.83,2.1,0
29.55,41.28,198.08,0.61,0
43.83,51.48,76.35,3.29,0
30.68,11.28,105.79,0.59,0
26.42,19.09,156.23,2.04,0
44.42,42.8,165.34,1.38,0
6.27,81.46,69.58,3.05,0
43.41,56.74,107.48,2.82,0
37.26,55.6,118.69,0.74,0
63.82,49.5,32.65,1.08,0
64.25,35.24,91.5,2.7,0
28.13,84.37,77.46,1.91,0
50.01,71.11,51.77,2.11,0
125.44,50.65,1655.05,47.88,1
55.12,30.52,112.55,1.52,0
39.62,49.96,30.34,0.64,0
32.76,46.73,120.78,2.01,0
69.9,41.35,93.53,3.02,0
48.7,77.95,103.41,0.94,0
35.71,35.99,103.33,1.73,0
48.99,68.45,126.76,2.28,0
51.32,74.47,164.5,2.48,0
29.9,44.63,150.12,2.73,0
16.51,42.31,110.36,1.49,0
71.4,111.29,906.25,26.91,1
24.9,62.86,77.76,2.04,0
45.47,57.98,58.69,2.89,0
70.23,8.38,72.64,2.02,0
35.34,43.56,152.6,1.91,0
19.56,35.44,85.7,2.3,0
18.19,29.07,150.67,3.19,0
36.8,71.05,122.82,2.43,0
24.84,55.88,139.47,2.31,0
32.99,67.24,62.5,0.74,0
25.5,20.11,90.23,1.1,0
36.49,57.65,136.29,1.43,0
50.16,89.29,170.61,1.68,0
56.36,9.91,56.61,1.7,0
11.52,30.03,125.35,1.5,0
30.62,22.32,115.7,2.83,0
8.75,58.01,96.72,2.59,0
56.26,53.62,207.34,2.43,0
17.91,91.33,165.66,1.35,1
51.05,59.93,110.82,1.34,0
43.26,69.57,207.74,0.84,0
47.23,48.75,128.59,2.14,0
73.37,32.64,94.99,2.18,0
50.95,78.42,40.09,1.34,0
25.73,48.1,138.11,-0.17,0
37.18,12.13,82.71,3.09,0
36.33,15.89,106.47,3.49,0
29.85,88.09,62.59,2.83,0
43.64,68.27,136.71,1.61,0
44.82,19.98,112.69,2.88,0
39.86,68.06,124.14,2.27,0
82.69,109.12,632.49,48.76,1
30.36,58.33,150.37,2.52,0
60.58,38.11,98.26,0.2,0
39.61,34.43,84.48,1.16,0
40.37,35.88,112.19,1.95,0
56.31,59.95,200.83,2.72,0
38.95,65.76,145.93,1.88,0
80.49,78.01,1677.62,26.45,1
106.78,85.75,1703.68,38.51,1
44.42,37.65,159.63,2.23,0
44.63,60.99,138.86,1.84,0
61.92,37.21,83.36,3.14,0
45.14,71.3,129.5,2.46,0
35.47,39.65,214.86,2.47,0
52.68,66.1,95.2,2.2,0
19.0,30.95,183.7,1.69,0
50.56,77.25,156.67,2.17,0
48.16,83.66,170.72,2.09,0
43.62,35.19,84.96,3.2,0
38.81,58.37,83.31,3.31,0
28.43,71.19,128.24,1.97,0
121.21,86.18,2160.79,27.45,1
26.72,29.98,149.11,1.23,0
23.68,36.78,154.42,0.98,0
33.27,55.67,168.21,3.61,0
16.26,30.49,192.92,1.26,0
28.88,58.06,91.15,1.86,0
89.88,79.57,1487.84,35.66,1
43.94,38.52,91.83,1.81,0
101.45,97.65,1578.19,13.24,1
22.46,58.39,59.94,2.29,0
56.51,63.48,153.99,1.88,0
23.63,45.14,180.69,1.71,0
60.42,40.05,171.02,3.17,0
27.24,56.82,98.11,1.04,0
74.52,66.2,97.34,2.09,0
49.07,51.71,109.64,3.73,0
81.28,73.95,1552.93,16.65,1
31.65,71.57,6.71,0.93,0
123.77,98.01,699.29,41.82,1
73.66,79.36,103.4,0.15,0
45.68,18.55,107.14,2.14,0
29.69,79.66,117.24,2.43,0
41.77,73.73,95.85,0.82,0
31.22,80.28,82.85,3.47,0
52.22,48.43,116.06,2.25,0
15.51,73.43,98.71,1.42,0
38.15,32.12,166.82,3.39,0
55.56,76.12,175.71,3.23,0
54.43,31.3,148.4,3.07,0
82.89,66.45,1880.63,39.95,1
79.17,52.03,75.09,1.37,0
58.82,60.75,124.81,3.6,0
59.76,55.9,101.41,2.0,0
23.41,33.29,112.93,0.1,0
40.16,32.78,87.34,1.17,0
37.56,29.86,99.48,3.43,0
57.91,25.96,110.49,0.69,0
48.4,50.24,138.42,2.4,0
42.01,92.04,137.93,2.66,1
47.3,79.67,149.08,1.3,0
50.76,6.86,109.76,4.27,0
48.7,87.74,118.12,3.89,0
18.42,74.41,43.38,3.18,0
47.02,52.65,120.86,3.01,0
39.25,89.37,103.86,2.72,0
27.11,56.95,198.24,0.85,0
37.07,19.89,132.15,0.72,0
17.23,39.66,102.26,3.07,0
30.84,53.57,134.59,0.96,0
34.35,26.95,135.05,1.85,0
50.39,60.22,120.18,-0.02,0
59.19,40.27,179.67,0.51,0
35.09,67.93,103.8,1.32,0
35.92,87.06,157.53,0.79,0
31.9,40.12,77.2,0.5,0
90.39,55.41,71.74,2.6,1
36.18,37.44,138.21,2.72,0
25.31,38.99,149.35,3.37,0
42.91,89.11,124.37,1.85,0
15.11,41.51,132.9,1.94,0
59.04,77.75,108.53,4.98,0
44.62,70.65,149.7,3.5,0
37.41,66.19,139.84,2.81,0
26.19,54.14,109.52,3.27,0
35.63,66.18,74.31,1.64,0
30.7,24.1,46.8,2.25,0
87.96,89.01,1601.29,46.74,1
66.81,102.29,1635.24,28.94,1
49.44,55.81,137.26,3.7,0
35.46,42.99,114.07,2.53,0
28.49,84.28,128.79,1.97,0
14.4,74.64,103.26,2.71,0
93.11,107.46,1870.2,32.44,1
59.59,76.2,91.56,1.16,0
32.25,39.4,74.31,0.83,0
50.34,62.05,165.09,2.28,0
35.48,66.18,77.91,1.91,0
22.74,73.23,162.62,2.58,0
36.4,86.65,133.55,2.5,0
29.93,52.56,59.45,0.41,0
55.04,53.12,109.73,0.52,0
33.32,37.88,158.44,0.32,0
24.75,59.45,147.42,1.61,0
34.73,24.86,135.98,1.91,0
22.32,56.45,172.66,2.19,0
21.9,66.65,100.05,1.44,0
53.44,33.09,107.9,2.37,0
35.28,11.69,123.91,3.66,0
22.16,42.58,124.81,2.12,0
20.96,14.65,99.84,3.17,0
76.19,85.87,931.32,21.57,0
42.59,49.05,148.26,1.07,0
35.23,44.58,94.98,0.98,0
28.83,48.93,146.93,2.33,0
64.09,47.98,166.39,3.4,0
33.29,47.97,133.1,1.51,0
16.95,37.61,143.94,3.16,0
46.4,65.46,160.26,1.78,0
73.54,53.84,140.58,0.93,0
50.73,58.24,174.45,1.21,0
31.71,35.79,106.92,3.72,0
49.87,22.11,59.86,2.41,0
46.44,56.49,43.26,2.98,0
59.79,-9.39,80.16,1.51,0
37.64,10.79,143.93,0.43,0
19.73,67.68,93.37,0.63,0
24.66,66.06,139.44,1.38,0
22.38,33.06,46.52,2.68,0
54.4,62.16,147.63,0.95,0
36.59,40.23,131.15,2.53,0
68.16,91.13,1288.23,40.54,1
23.33,70.63,127.82,3.34,0
44.45,41.07,99.21,1.98,0
32.7,77.01,98.94,1.15,0
62.22,22.86,119.1,2.41,0
21.83,33.44,65.42,1.21,0
62.64,30.85,121.84,1.28,0
58.96,66.41,100.29,0.22,0
83.33,85.51,1174.31,33.79,1
35.17,31.88,103.98,1.99,0
57.65,53.11,128.49,3.95,0
22.57,60.01,94.8,0.32,0
32.94,76.63,89.21,1.97,0
36.99,61.67,182.37,1.34,0
98.02,103.01,686.8,21.39,1
46.27,54.76,137.89,0.47,0
12.03,99.71,186.21,2.1,1
43.63,79.62,164.32,2.47,0
74.27,75.05,1464.61,27.62,1
37.18,42.93,135.56,2.74,0
22.4,44.47,158.42,2.85,0
54.29,3.79,156.42,2.08,0
48.91,38.71,127.11,3.15,0
33.64,28.47,118.58,1.44,0
74.52,27.85,126.39,1.94,0
36.87,29.32,53.06,3.27,0
67.61,38.48,116.82,2.28,0
43.52,38.48,187.45,0.92,0
118.27,66.52,1826.14,17.21,1
91.37,98.62,1131.53,41.28,1
88.32,95.07,1658.92,37.22,1
23.0,57.73,134.48,1.86,0
46.82,23.78,166.99,2.61,0
45.87,56.94,107.26,2.39,0
21.68,56.74,153.57,1.73,0
46.55,62.59,107.0,2.35,0
32.17,26.69,128.62,0.06,0
14.15,76.18,119.54,2.33,0
36.84,49.01,145.46,1.94,0
33.76,56.66,84.87,0.6,0
50.88,57.45,125.72,3.5,0
28.78,10.8,69.57,-1.0,0
14.59,36.32,96.23,3.92,0
46.43,36.21,125.2,0.04,0
34.08,38.67,95.8,2.91,0
27.78,32.63,171.55,3.62,0
57.97,21.14,64.85,0.82,0
65.96,63.07,114.34,3.87,0
50.98,50.52,150.24,0.67,0
38.44,66.27,116.29,1.97,0
29.17,61.58,112.74,1.76,0
40.83,7.7,132.42,1.95,0
38.61,56.24,100.2,1.38,0
92.04,72.36,1147.3,19.47,1
33.1,28.64,100.46,2.13,0
62.55,56.7,123.29,3.9,0
45.48,36.01,53.59,2.49,0
23.79,46.54,120.49,3.15,0
47.56,51.35,83.76,1.57,0
27.72,41.06,129.45,2.01,0
74.61,31.22,122.5,1.83,0
31.33,47.49,119.34,1.8,0
20.76,28.4,203.52,1.47,0
75.99,84.56,651.12,10.52,0
18.45,53.55,165.4,1.44,0
49.08,53.13,148.91,0.51,0
45.49,32.03,116.44,2.12,0
29.17,20.51,147.05,2.34,0
41.53,50.57,64.47,2.48,0
38.01,49.57,77.63,0.83,0
42.2,47.09,107.75,3.3,0
35.72,60.84,150.7,2.09,0
12.28,53.36,45.89,1.55,0
30.38,58.89,34.3,2.22,0
12.43,49.63,138.74,1.69,0
36.89,55.49,85.94,2.96,0
41.52,40.35,18.41,1.07,0
55.1,66.19,133.99,1.09,0
70.45,123.28,1721.39,37.78,1
45.66,48.21,75.95,0.99,0
24.45,67.3,134.7,1.13,0
34.64,51.18,95.46,2.87,0
54.06,75.82,110.03,0.78,0
36.35,64.86,144.04,2.45,0
12.32,58.43,99.59,2.73,0
99.36,83.3,943.45,22.1,1
36.87,99.92,49.26,2.49,1
26.43,47.23,128.81,3.43,0
34.77,70.28,134.61,1.41,0
52.61,52.27,175.81,2.11,0
14.38,34.94,120.65,3.41,0
64.69,40.56,87.13,2.03,0
62.7,57.49,138.73,2.86,0
28.91,66.84,148.33,1.74,0
53.18,74.45,135.3,0.53,0
38.93,39.31,202.84,0.92,0
59.81,35.17,97.91,2.68,0
69.77,53.3,93.05,2.51,0
35.44,30.53,70.57,2.21,0
35.44,40.49,165.58,2.62,0
15.15,69.32,150.49,3.67,0
20.0,72.31,141.82,2.82,0
11.02,52.34,83.96,1.39,0
28.87,30.71,84.04,1.71,0
27.25,32.85,73.12,2.87,0
51.0,90.37,82.71,1.95,1
19.16,43.01,119.81,2.67,0
46.31,46.14,145.43,2.03,0
62.35,61.0,154.72,3.35,0
51.74,14.76,138.87,2.62,0
91.66,69.2,570.25,36.2,1
63.58,37.78,133.99,2.3,0
42.4,67.95,87.72,2.56,0
42.57,35.86,84.58,2.53,0
35.44,68.89,105.71,1.33,0
19.38,58.86,102.91,1.19,0
28.61,70.7,105.62,0.9,0
38.89,37.3,125.67,1.58,0
113.09,112.16,784.76,18.44,1
51.31,12.62,123.05,3.06,0
81.15,73.13,1375.57,20.6,1
27.99,74.66,128.19,3.88,0
27.54,73.83,69.71,2.45,0
19.53,53.79,64.26,2.45,0
35.15,43.61,114.86,3.71,0
14.51,54.51,198.53,3.58,0
30.29,54.45,125.3,2.29,0
23.98,29.54,197.29,2.27,0
1.22,21.06,181.03,-0.11,0
31.57,73.2,129.14,1.64,0
37.32,71.22,192.58,0.61,0
57.03,54.73,64.62,0.95,0
35.09,65.7,102.57,2.22,0
49.8,62.87,93.74,1.25,0
35.17,36.39,196.45,2.91,0
45.55,89.97,133.47,1.0,0
40.01,52.38,78.33,1.71,0
20.48,33.35,125.75,2.5,0
30.26,90.46,104.9,3.7,1
52.06,77.8,97.24,-0.06,0
19.29,17.87,173.65,3.11,0
30.38,45.43,99.21,1.42,0
60.14,64.05,120.67,1.73,0
29.76,33.1,98.86,1.91,0
45.13,50.78,100.84,0.46,0
45.57,54.16,31.46,1.09,0
53.45,86.15,157.77,1.41,0
70.86,42.59,181.0,2.53,0
50.33,85.12,153.15,1.1,0
58.43,77.47,119.04,0.42,0
26.19,89.38,154.68,1.67,0
39.84,57.09,67.23,1.5,0
66.54,50.35,146.72,3.07,0
56.6,46.84,13.17,1.75,0
24.24,51.46,203.61,2.81,0
24.08,47.76,110.78,4.09,0
15.97,65.59,184.03,2.95,0
60.96,32.3,182.25,1.69,0
70.54,49.75,169.9,3.46,0
46.04,69.03,117.52,3.43,0
38.85,14.47,145.69,-0.01,0
40.74,44.47,98.98,2.81,0
15.9,35.28,137.0,1.73,0
72.75,64.6,186.77,1.71,0
54.11,78.16,63.78,2.31,0
101.8,63.42,1022.96,38.86,1
39.87,50.51,164.94,2.06,0
16.33,61.41,168.06,2.71,0
39.7,21.88,98.15,0.92,0
81.37,52.26,1542.66,18.18,1
23.4,46.66,111.44,2.86,0
58.23,44.27,153.92,1.78,0
31.34,49.94,120.55,1.84,0
46.79,28.35,175.97,-1.2,0
62.47,73.44,125.92,2.22,0
27.02,54.29,85.06,2.16,0
47.5,48.03,151.27,2.17,0
22.61,68.29,109.34,2.17,0
30.33,37.46,116.12,1.72,0
26.57,27.79,115.76,2.54,0
70.83,126.58,690.86,49.59,1
38.42,53.7,50.79,1.55,0
41.64,53.97,134.85,1.73,0
52.43,47.75,92.59,0.26,0
81.46,98.69,814.26,16.77,1
40.69,35.94,198.57,1.73,0
90.89,82.12,640.38,20.36,1
41.89,17.45,168.88,2.01,0
57.2,55.46,174.21,1.84,0
65.85,52.55,132.11,1.81,0
47.37,60.0,120.77,2.87,0
50.02,37.37,148.0,3.63,0
20.51,53.1,222.1,1.3,0
38.22,45.19,82.86,2.86,0
54.09,47.18,124.89,3.27,0
53.18,14.42,147.35,1.1,0
36.4,47.44,137.96,2.5,0
20.41,64.22,158.94,2.66,0
36.9,67.54,125.84,3.28,0
26.06,52.56,73.23,1.14,0
23.03,46.58,151.07,4.4,0
22.08,59.92,95.63,1.89,0
46.0,63.69,127.14,3.31,0
43.14,-0.84,203.28,1.15,0
30.33,68.82,78.97,3.89,0
54.94,69.96,130.75,2.63,0
96.82,125.45,963.2,47.07,1
21.34,42.73,143.24,2.92,0
59.08,12.74,146.69,2.15,0
57.62,91.68,84.75,4.52,1
46.3,45.46,83.97,2.66,0
40.1,40.55,113.27,3.91,0
61.19,48.2,161.65,2.3,0
35.6,26.78,86.87,1.8,0
37.42,42.99,165.71,0.75,0
38.83,82.79,72.67,2.6,0
29.59,44.14,133.41,4.1,0
37.48,53.51,107.2,1.44,0
31.09,48.67,91.57,2.31,0
32.74,66.6,85.17,0.36,0
98.02,66.79,924.16,21.21,1
35.99,66.03,141.91,4.09,0
76.27,78.8,2003.61,19.71,1
36.54,52.97,72.8,-0.23,0
112.43,104.49,1372.99,49.85,1
32.11,47.53,78.97,2.51,0
54.13,44.31,61.9,3.09,0
42.57,45.93,173.08,1.36,0
26.1,34.44,127.15,3.45,0
42.34,68.22,145.24,2.22,0
44.1,68.11,180.63,1.97,0
25.03,52.5,82.9,0.76,0
62.01,41.66,128.57,3.34,0
40.74,33.4,111.21,2.8,0
15.61,9.47,162.43,2.15,0
-3.88,46.26,146.57,0.72,0
41.99,39.03,92.08,1.82,0
25.97,70.64,190.23,1.86,0
38.56,38.21,127.71,2.72,0
23.37,34.02,29.73,1.99,0
28.7,69.6,153.47,1.91,0
56.54,74.59,82.34,1.36,0
52.94,55.13,160.0,2.79,0
113.16,75.57,1667.32,45.08,1
39.72,40.85,102.0,2.95,0
93.38,137.81,2102.47,24.39,1
50.93,36.81,97.93,3.57,0
69.7,46.02,191.2,1.81,0
32.21,32.09,182.68,1.13,0
38.39,54.92,159.34,2.07,0
11.8,51.73,60.07,2.25,0
25.84,46.65,126.23,1.42,0
37.72,79.42,160.13,0.49,0
13.26,24.14,148.41,2.2,0
28.67,21.86,59.63,1.42,0
65.66,68.26,82.53,1.3,0
91.3,114.97,819.56,22.49,1
55.44,77.62,97.88,3.36,0
46.77,48.3,160.3,1.25,0
-23.35,66.36,142.97,1.69,0
32.36,8.09,115.52,3.85,0
47.55,73.29,94.64,1.64,0
45.84,39.03,129.44,3.96,0
47.12,69.18,110.88,1.03,0
43.56,18.56,178.1,1.55,0
47.85,49.33,135.15,2.7,0
43.65,48.94,127.12,4.32,0
52.19,58.39,142.01,1.49,0
98.8,69.87,868.09,31.53,1
37.34,21.88,156.19,1.08,0
34.24,53.8,129.0,1.15,0
41.06,25.2,163.89,2.07,0
31.42,49.78,73.55,2.68,0
24.32,29.79,122.97,3.36,0
46.7,24.74,136.54,1.68,0
30.79,25.66,152.59,1.27,0
83.13,47.55,87.2,1.34,0
22.74,88.49,178.0,2.91,0
13.97,72.7,45.08,2.09,0
33.37,67.36,84.26,2.03,0
52.12,49.71,145.36,1.34,0
60.41,57.74,169.82,2.69,0
66.73,4.48,132.03,1.99,0
30.19,52.78,134.62,2.75,0
44.76,62.4,114.43,1.39,0
44.7,28.47,93.03,1.36,0
49.6,79.72,110.39,1.16,0
22.69,56.48,189.77,3.29,0
58.12,24.99,132.11,1.81,0
75.53,103.16,978.5,34.61,1
77.21,101.51,945.97,42.53,1
20.22,51.48,189.59,0.82,0
58.89,38.51,95.7,0.7,0
31.78,53.01,149.48,2.61,0
56.71,97.83,164.42,0.47,1
27.23,32.08,121.57,1.27,0
119.38,61.88,953.67,38.88,1
45.21,85.5,131.39,1.87,0
37.92,65.58,105.63,2.08,0
22.88,70.81,100.66,2.94,0
37.87,34.27,102.04,2.8,0
14.83,72.11,101.58,1.38,0
47.56,29.77,166.11,0.97,0
46.62,36.23,126.08,0.18,0
80.75,78.19,1932.01,35.56,1
11.96,18.26,122.32,3.11,0
20.14,13.76,132.21,1.61,0
31.65,34.87,145.52,3.48,0
45.92,52.88,217.17,1.83,0
38.15,22.43,157.99,2.15,0
25.07,39.84,178.32,1.55,0
58.25,33.21,170.49,1.39,0
53.78,38.34,136.21,0.74,0
28.28,37.58,204.27,1.72,0
52.99,50.96,127.56,3.27,0
24.93,55.07,119.46,2.32,0
57.64,31.67,60.01,2.56,0
58.11,42.16,80.05,2.45,0
75.86,63.77,851.73,33.54,0
52.1,75.61,108.32,2.46,0
42.36,52.63,193.45,1.24,0
67.37,64.41,148.18,3.07,0
24.05,55.13,94.4,3.84,0
33.89,53.61,50.57,2.31,0
47.54,19.9,154.84,3.28,0
22.94,48.97,135.71,1.26,0
25.74,22.96,138.37,1.93,0
32.38,67.06,83.8,3.3,0
106.11,75.57,1981.24,21.85,1
43.38,47.71,118.51,3.28,0
94.4,115.13,1568.44,22.03,1
77.81,57.12,1685.59,41.1,1
25.01,87.66,146.03,-0.35,0
64.04,87.4,109.86,3.34,0
43.03,28.48,46.3,1.83,0
24.71,50.66,115.45,0.06,0
9.5,71.23,89.23,1.48,0
21.38,76.21,143.4,3.03,0
7.97,59.5,110.03,1.46,0
28.83,35.83,97.33,2.01,0
105.02,93.49,1439.39,48.49,1
48.0,69.6,105.99,3.3,0
25.72,33.46,93.13,3.59,0
63.49,54.91,151.55,2.28,0
37.49,43.88,22.18,2.58,0
27.21,35.61,146.53,2.69,0
48.01,49.38,86.84,0.43,0
52.15,28.54,94.38,1.61,0
13.62,58.66,152.05,3.18,0
23.87,72.55,143.04,1.28,0
4.3,118.07,164.86,0.83,1
113.5,62.3,1298.57,35.42,1
22.92,51.65,181.5,-1.08,0
51.33,19.26,77.69,2.82,0
51.93,28.23,86.56,2.3,0
41.61,49.65,113.51,2.01,0
65.62,34.95,92.2,2.67,0
22.85,73.47,128.38,1.56,0
31.33,67.75,69.09,1.09,0
26.73,41.36,134.79,3.06,0
35.58,71.47,112.81,2.23,0
58.31,44.67,60.4,1.96,0
28.5,84.37,109.73,1.6,0
68.31,19.94,143.44,0.96,0
38.92,48.4,147.4,2.49,0
55.19,50.0,92.45,1.84,0
56.38,47.91,137.42,2.45,0
55.54,36.25,167.18,3.31,0
5.62,52.77,112.22,3.26,0
60.61,33.39,22.66,2.77,0
31.43,58.14,104.66,1.84,0
36.59,8.45,56.14,2.56,0
44.37,35.45,140.91,2.9,0
44.64,54.24,107.82,2.67,0
37.44,26.4,129.92,2.24,0
9.77,35.42,163.53,2.88,0
58.58,51.36,95.41,1.01,0
50.22,64.29,103.24,1.98,0
52.88,85.01,83.04,-0.38,0
30.84,60.24,189.92,2.0,0
29.32,56.93,163.86,1.57,0
29.95,64.27,98.67,1.33,0
76.86,99.32,1968.59,51.18,1
39.88,36.46,224.9,1.8,0
35.66,33.54,143.58,1.67,0
43.12,47.04,71.34,2.4,0
58.68,52.08,94.49,3.02,0
35.81,49.91,162.1,1.67,0
66.75,15.9,124.29,2.03,0
46.61,50.25,146.07,2.64,0
48.53,105.58,93.92,2.08,1
51.45,21.68,116.22,3.81,0
69.91,41.75,151.85,1.44,0
24.49,55.26,150.69,2.17,0
21.32,24.69,152.06,1.97,0
38.36,41.89,108.66,2.94,0
40.09,47.47,79.01,2.45,0
14.91,62.69,163.82,1.77,0
